date,sales,weather,temperature,THI,num_staff
2010/07/10,6667,1,-0.3,7.2,42
2010/07/11,50245,0,7.3,5.5,4
2010/07/12,43677,2,5.7,33.9,36
2010/07/13,90137,2,17.1,4.8,48
2010/07/14,217531,0,38.8,17.9,28
2010/07/15,44585,1,2.6,62.1,18
2010/07/16,101801,1,12,83.2,24
2010/07/17,193824,2,37.3,4.3,21
2010/07/18,122240,3,21.9,27.6,27
2010/07/19,236883,0,38.8,64,47
2010/07/20,192768,2,,,36
2010/07/21,94911,0,13.6,,12
2010/07/22,42461,3,1.9,82.7,37
2010/07/23,228931,0,36.3,75.8,9
2010/07/24,179666,0,27.3,68.7,25
2010/07/25,140849,0,22.2,38.7,27
2010/07/26,14017,2,,95.7,23
2010/07/27,62943,0,9.2,12.4,33
2010/07/28,48681,0,5.9,18.9,23
2010/07/29,196799,3,38.6,0.5,33
2010/07/30,88740,2,9.5,94.8,10
2010/07/31,41719,1,6.2,11.1,18
2010/08/01,61698,1,10.9,1.1,10
2010/08/02,150262,2,27.4,21.9,
2010/08/03,119609,2,20.7,31,13
2010/08/04,86752,3,11.6,69.3,43
2010/08/05,41321,0,2.9,38.2,4
2010/08/06,127855,3,18.8,79,36
2010/08/07,177453,2,26.6,96.5,33
2010/08/08,132265,2,17.9,95.5,25
2010/08/09,36533,1,-1.2,89.5,25
2010/08/10,204059,0,34.6,37.3,29
2010/08/11,214510,0,34.9,58.5,45
2010/08/12,190747,1,31,,26
2010/08/13,185675,2,31.5,56,30
2010/08/14,235014,2,39.9,70.6,30
2010/08/15,201095,0,31.4,69.5,25
2010/08/16,74652,2,13.6,10.9,13
2010/08/17,1207,2,-1.8,24.7,10
2010/08/18,147996,0,20.9,71.7,23
2010/08/19,132452,1,22.4,28.7,25
2010/08/20,208393,2,39.9,7.1,39
2010/08/21,85956,2,10.9,70.9,45
2010/08/22,185699,1,32.2,35.5,1
2010/08/23,158396,1,28.5,15.7,37
2010/08/24,238335,3,39.8,84.8,43
2010/08/25,65236,1,3.7,97.8,38
2010/08/26,116283,3,15.5,91.9,32
2010/08/27,95904,2,16.6,24.8,1
2010/08/28,99204,0,14.5,,10
